Feature,Cognitive_Score,N,Pearson_r,Pearson_p,R_Squared,Spearman_rho,Spearman_p,Slope_B,Intercept,Std_Error,Pearson_p_FDR
flesch,MoCA,293,-0.02766219259366332,0.6372361066010079,0.0007651968990889218,-0.06065242872823481,0.3008009367388406,-0.012841832056821363,27.024134519665505,0.027203680579153493,0.7496895371776564
coleman_liau_index,MoCA,293,0.12019206699532968,0.03978044935860694,0.014446132968609818,0.14286535848025517,0.014382100431476056,0.259838061343663,24.773071162330073,0.12581159028933614,0.10377508528332244
automated_readability_index,MoCA,293,0.1229761374818394,0.035377858788563574,0.015123130389952265,0.16693404126275665,0.004165238477682345,0.18652979406901404,25.85440035978304,0.08824128766135149,0.0966596825946277
gunning_fog,MoCA,293,0.08006007363705407,0.17170538312948944,0.0064096153907705206,0.10081723438387338,0.08493770110059053,0.17945342919646465,25.03051197268986,0.1309763766945814,0.3121916056899808
polarity,MoCA,293,0.051601793584628616,0.3788098874545598,0.002662745101150619,0.05264732843684757,0.3692133685840549,0.9626555479611756,25.86377730142436,1.0921458692036825,0.5494709178703308
subjectivity,MoCA,293,0.07391075051664989,0.20714090435243823,0.005462799041934462,0.04772742066780788,0.41568298639594453,1.3179854769782207,25.39656632134166,1.0424783257974894,0.3550986931756084
disfluencies,MoCA,293,0.15994929253566983,0.006071866036705702,0.025583776182661284,0.15826037398589987,0.006637000413608108,0.05615530605958089,25.200753981014525,0.02031581426622813,0.03643119622023422
cohesion_score,MoCA,293,0.0280105831620078,0.6330003260867755,0.000784592769075755,0.02961612267137646,0.6136360042779615,3.668988390794542,25.843459391681478,7.675510204616686,0.7496895371776564
personal_deixis_rate,MoCA,293,-0.14832964844503901,0.011015097487685355,0.022001684607828864,-0.16847903758362145,0.003824667320198784,-12.758595781122056,27.271003836774756,4.98651890347939,0.05083891148162471
spatial_deixis_rate,MoCA,293,0.05097562721542906,0.3846296425092315,0.0025985145700063916,0.036558213871527745,0.5330813026943495,6.436609034738517,25.54933069265888,7.39235923076716,0.5494709178703308
temporal_deixis_rate,MoCA,293,0.08541249734552113,0.14471840829883809,0.007295294702798654,0.08880707975445566,0.12935951077325653,53.65139846404042,25.811812615259658,36.68792690550559,0.28293609077722154
past_tense_rate,MoCA,293,0.12928273182843084,0.026911528322101082,0.016714024749021963,0.15349737753777534,0.008492500384621344,8.11036612243439,25.612323437521916,3.646643995331787,0.08498377364874027
present_tense_rate,MoCA,293,-0.1345880771216374,0.021198895053533586,0.018113950503299815,-0.1466060664191032,0.011992880279379775,-6.351535022396118,31.827958474253986,2.741297431307754,0.07066298351177862
future_tense_rate,MoCA,293,0.021963258583160263,0.7081152562509201,0.00048238472759076296,0.00807556838811218,0.8905227095283953,12.693438175774435,25.923035769357202,33.87125036912175,0.8016399127368907
